=== Bayesian Optimization for Nonlinear Factor Graph Tracking ===
Loaded 500 nonlinear trajectories
dt_vec size: 199, first 10: 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Max consecutive dt ratio: 1
=== Nonlinear BayesOpt Tracking Test ===
  Turn rate: 0.1 rad/s
  Consistency method: nis4
  Process noise bounds: [0.001, 2]
Run 243: Total chi2=391.888 (Process=124.477, Measurement=267.411)
Run 450: Total chi2=403.582 (Process=112.113, Measurement=291.469)
Run 38: Total chi2=364.338 (Process=102.587, Measurement=261.751)
Run 497: Total chi2=418.991 (Process=140.275, Measurement=278.716)
Run 157: Total chi2=368.247 (Process=118.344, Measurement=249.903)
Run 122: Total chi2=431.7 (Process=152.754, Measurement=278.946)
Run 244: Total chi2=398.608 (Process=136.778, Measurement=261.83)
Run 285: Total chi2=406.108 (Process=108.885, Measurement=297.223)
Run 198: Total chi2=412.89 (Process=107.775, Measurement=305.115)
Run 69: Total chi2=418.452 (Process=128.517, Measurement=289.935)
Run 39: Total chi2=418.289 (Process=107.784, Measurement=310.505)
Run 498: Total chi2=424.811 (Process=123.318, Measurement=301.494)
Run 286: Total chi2=418.049 (Process=117.531, Measurement=300.518)
Run 499: Total chi2=371.882 (Process=104.825, Measurement=267.057)
Run 362: Total chi2=Run 245: Total chi2=364.995379.698 (Process= (Process=96.5921, Measurement=123.173, Measurement=268.403256.525))

Run 414: Total chi2=337.812 (Process=97.2706, Measurement=240.541)
Run 158: Total chi2=407.44 (Process=115.707, Measurement=291.733)
Run 40: Total chi2=374.457 (Process=115.6, Measurement=258.858)
Run 123: Total chi2=358.659 (Process=119.488, Measurement=239.171)
Run 287: Total chi2=379.931 (Process=113.156, Measurement=266.776)
Run 246: Total chi2=360.45 (Process=102.293, Measurement=258.157)
Run 451: Total chi2=406.745 (Process=109.178, Measurement=297.567)
Run 415: Total chi2=383.66 (Process=115.623, Measurement=268.037)
Run 159: Total chi2=399.746 (Process=118.385, Measurement=281.361)
Run 247: Total chi2=365.521 (Process=107.616, Measurement=257.906)
Run 41: Total chi2=441.212 (Process=151.648, Measurement=289.564)
Run 416: Total chi2=407.309 (Process=109.883, Measurement=297.425)
Run 124: Total chi2=439.879 (Process=132.242, Measurement=307.637)
Run 199: Total chi2=426.125 (Process=109.072, Measurement=317.053)
Run 288: Total chi2=379.703 (Process=110.165, Measurement=269.539)
Run 248: Total chi2=389.453 (Process=112.385, Measurement=277.068)
Run 70: Total chi2=357.816 (Process=101.667, Measurement=256.149)
Run 160: Total chi2=395.769 (Process=103.817, Measurement=291.952)
Run 452: Total chi2=388.056 (Process=103.682, Measurement=284.373)
Run 249: Total chi2=397.739 (Process=122.941, Measurement=274.798)
Run 363: Total chi2=390.654 (Process=111.913, Measurement=278.741)
Run 71: Total chi2=377.999 (Process=121.492, Measurement=256.507)
Run 125: Total chi2=409.979 (Process=126.231, Measurement=283.748)
Run 200: Total chi2=392.864 (Process=122.57, Measurement=270.294)
Run 289: Total chi2=402.34 (Process=104.78, Measurement=297.56)
Run 417: Total chi2=363.043 (Process=113.543, Measurement=249.501)
Run 453: Total chi2=424.624 (Process=112.403, Measurement=312.221)
Run 72: Total chi2=440.037 (Process=117.57, Measurement=322.467)
Run 161: Total chi2=368.427 (Process=105.427, Measurement=263)
Run 454: Total chi2=357.099 (Process=104.706, Measurement=252.392)
Run 250: Total chi2=423.091 (Process=119.007, Measurement=304.084)
Run 201: Total chi2=360.782 (Process=114.511, Measurement=246.271)
Run 364: Total chi2=408.959 (Process=126.432, Measurement=282.527)
Run 290: Total chi2=401.246 (Process=98.0203, Measurement=303.226)
Run 73: Total chi2=354.631 (Process=95.9027, Measurement=258.728)
Run 455: Total chi2=398.198 (Process=105.991, Measurement=292.207)
Run 162: Total chi2=385.15 (Process=121.934, Measurement=263.216)
Run 365: Total chi2=375.156 (Process=110.156, Measurement=265)
Run 251: Total chi2=378.54 (Process=109.074, Measurement=269.466)
Run 202: Total chi2=450.052 (Process=113.059, Measurement=336.993)
Run 74: Total chi2=393.962 (Process=121.388, Measurement=272.573)
Run 291: Total chi2=377.563 (Process=98.5953, Measurement=278.968)
Run 456: Total chi2=415.164 (Process=122.796, Measurement=292.367)
Run 203: Total chi2=423.554 (Process=130.612, Measurement=292.941)
Run 163: Total chi2=416.103 (Process=127.191, Measurement=288.912)
Run 366: Total chi2=411.716 (Process=125.096, Measurement=286.62)
Run 75: Total chi2=356.171 (Process=120.748, Measurement=235.423)
Run 457: Total chi2=431.001 (Process=111.117, Measurement=319.884)
Run 164: Total chi2=400.611 (Process=103.452, Measurement=297.159)
Run 204: Total chi2=Run 292: Total chi2=361.388374.208 (Process= (Process=116.012, Measurement=123.287, Measurement=245.376)250.92)

Run 458: Total chi2=378.916 (Process=104.916, Measurement=274.001)
Run 367: Total chi2=380.602 (Process=120.617, Measurement=259.985)
Run 165: Total chi2=348.612 (Process=109.792, Measurement=238.82)
Run 76: Total chi2=367.293 (Process=111.674, Measurement=255.619)
Run 166: Total chi2=359.184 (Process=119.937, Measurement=239.246)
Run 293: Total chi2=419.718 (Process=123.386, Measurement=296.332)
Run 77: Total chi2=395.143 (Process=124.936, Measurement=270.207)
Run 205: Total chi2=372.299 (Process=106.732, Measurement=265.567)
Run 368: Total chi2=448.757 (Process=120.863, Measurement=327.894)
Run 78: Total chi2=355.299 (Process=97.6241, Measurement=257.675)
Run 167: Total chi2=408.818 (Process=115.877, Measurement=292.941)
Run 206: Total chi2=372.215 (Process=95.4074, Measurement=276.808)
Run 79: Total chi2=377.155 (Process=103.096, Measurement=274.06)
Run 369: Total chi2=388.046 (Process=109.036, Measurement=279.009)
Run 207: Total chi2=380.665 (Process=104.682, Measurement=275.983)
Run 80: Total chi2=402.486 (Process=126.939, Measurement=275.547)
Run 370: Total chi2=411.379 (Process=123.637, Measurement=287.742)
Run 208: Total chi2=402.494 (Process=124.112, Measurement=278.382)
Run 81: Total chi2=398.455 (Process=142.393, Measurement=256.061)
Run 371: Total chi2=364.235 (Process=88.0937, Measurement=276.141)
Run 209: Total chi2=420.764 (Process=114.869, Measurement=305.895)
Run 82: Total chi2=382.407 (Process=124.529, Measurement=257.878)
Run 372: Total chi2=405.192 (Process=103.291, Measurement=301.9)
Run 83: Total chi2=395.57 (Process=129.24, Measurement=266.331)
Run 373: Total chi2=395.87 (Process=116.07, Measurement=279.8)
Run 374: Total chi2=404.879 (Process=116.198, Measurement=288.68)
Run 375: Total chi2=395.381 (Process=111.902, Measurement=283.479)
Run 376: Total chi2=393.982 (Process=111.044, Measurement=282.938)
Using Khosoussi Proposition 4 (NIS consistency): DOF = T × nz = 200 × 2 = 396
  Measurement-based init + optimization + measurement-only chi2 test
  (Graph dimensions: dimZ=1196, dimX=800)
[BayesOpt Nonlinear] Parameters: V0=1, R=2, Metric=0.706347, Time=2192ms
Optimal parameter evaluation completed in 2192 ms
Optimal nis4 value: 0.706347
=========================================================

- 20:21:48.926969 INFO: Bounds: 
- 20:21:48.927034 INFO: [2](0.001,0.001)
- 20:21:48.927043 INFO: [2](2,4)

Starting Bayesian Optimization for Nonlinear System...
Number of iterations: 500
Number of initial samples: 100
- 20:21:48.927104 INFO: Expected 2 hyperparameters. Replicating parameters and prior.
- 20:21:48.927123 INFO: Using default parameters for criteria.
- 20:21:48.927131 INFO: Latin hypercube sampling
[BayesOpt Nonlinear] Iteration: 2
Theoretical DOF: T*nx = 800, T*nz = 400
Run 42: Total chi2=1126.99 (Process=283.576, Measurement=843.417)
Run 418: Total chi2=1166.54 (Process=292.727, Measurement=873.809)
Run 210: Total chi2=1243.15 (Process=291.74, Measurement=951.409)
Run 459: Total chi2=993.626 (Process=269.339, Measurement=724.287)
Run 0: Total chi2=1116.18 (Process=336.514, Measurement=779.666)
Run 252: Total chi2=1048.82 (Process=297.332, Measurement=751.492)
Run 377: Total chi2=Run 1186.27 (Process=336: Total chi2=307.816, Measurement=878.45)
1357.1 (Process=337.082, Measurement=1020.02)
Run 294: Total chi2=1129.16 (Process=321.715, Measurement=807.441)
Run 84: Total chi2=1014.76 (Process=271.069, Measurement=743.687)
Run 168: Total chi2=1126.88 (Process=271.47, Measurement=855.414)
Run 43: Total chi2=1114.17 (Process=291.728, Measurement=822.444)
Run 126: Total chi2=1031.51 (Process=314.769, Measurement=716.736)
Run 419: Total chi2=1239.97 (Process=285.321, Measurement=954.646)
Run 460: Total chi2=929.352 (Process=257.413, Measurement=671.939)
Run 211: Total chi2=1151.39 (Process=296.355, Measurement=855.036)
Run 1: Total chi2=1323.46 (Process=342.756, Measurement=980.705)
Run 337: Total chi2=1231.57 (Process=326.101, Measurement=905.469)
Run 85: Total chi2=1076.34 (Process=285.633, Measurement=790.706)
Run 169: Total chi2=977.014 (Process=291.873, Measurement=685.142)
Run 2: Total chi2=1316.71 (Process=316.824, Measurement=999.884)
Run 127: Total chi2=1144.73 (Process=300.07, Measurement=844.657)
Run 378: Total chi2=1239.93 (Process=296.507, Measurement=943.419)
Run 420: Total chi2=1084.08 (Process=300.469, Measurement=783.607)
Run 338: Total chi2=1193.45 (Process=315.938, Measurement=877.512)
Run 461: Total chi2=1213.66 (Process=304.185, Measurement=909.48)
Run 44: Total chi2=1070.62 (Process=303.996, Measurement=766.62)
Run 212: Total chi2=1158.32 (Process=293.937, Measurement=864.383)
Run 253: Total chi2=1248.23 (Process=381.434, Measurement=866.791)
Run 170: Total chi2=1185.57 (Process=320.539, Measurement=865.031)
Run 3: Total chi2=1110.09 (Process=298.771, Measurement=811.316)
Run 86: Total chi2=1010.14 (Process=288.903, Measurement=721.239)
Run 421: Total chi2=1158.54 (Process=283.933, Measurement=874.606)
Run 128: Total chi2=1149.64 (Process=310.02, Measurement=839.618)
Run 379: Total chi2=1164.77 (Process=301.901, Measurement=862.87)
Run 295: Total chi2=1266.9 (Process=284.464, Measurement=982.433)
Run 45: Total chi2=1142.78 (Process=294.81, Measurement=847.972)
Run 339: Total chi2=1036.45 (Process=291.931, Measurement=744.519)
Run 4: Total chi2=1154.96 (Process=299.202, Measurement=855.759)
Run 380: Total chi2=1126.28 (Process=294.215, Measurement=832.061)
Run 462: Total chi2=1219.54 (Process=311.742, Measurement=907.795)
Run 213: Total chi2=1114.08 (Process=281.316, Measurement=832.765)
Run 46: Total chi2=1169.97 (Process=288.249, Measurement=881.718)
Run 171: Total chi2=1144.58 (Process=322.793, Measurement=821.791)
Run 422: Total chi2=1122.57 (Process=279.586, Measurement=842.98)
Run 5: Total chi2=1243.09 (Process=296.842, Measurement=946.248)
Run 129: Total chi2=1173.99 (Process=303.772, Measurement=870.221)
Run 296: Total chi2=1157.15 (Process=296.84, Measurement=860.306)
Run 381: Total chi2=1074.23 (Process=293.002, Measurement=781.228)
Run 87: Total chi2=1061.44 (Process=283.223, Measurement=778.22)
Run 340: Total chi2=1236.66 (Process=280.089, Measurement=956.568)
Run 214: Total chi2=1285.01 (Process=273.088, Measurement=1011.93)
Run 172: Total chi2=1285.51 (Process=365.425, Measurement=920.085)
Run 254: Total chi2=1056.36 (Process=285.629, Measurement=770.733)
Run 423: Total chi2=Run 463: Total chi2=Run 6: Total chi2=1029.01 (Process=1025.53 (Process=1259.55 (Process=302.908, Measurement=292.939, Measurement=289.973, Measurement=722.62)969.573)736.069)Run 

47: Total chi2=
1019.79 (Process=299.208, Measurement=720.581)
Run 341: Total chi2=1199.89 (Process=331.034, Measurement=868.851)
Run 382: Total chi2=1051.05 (Process=297.112, Measurement=753.94)
Run 215: Total chi2=1168.4 (Process=291.411, Measurement=876.987)
Run 48: Total chi2=1090.41 (Process=277.109, Measurement=813.301)
Run 130: Total chi2=1146.02 (Process=265.58, Measurement=880.438)
Run 173: Total chi2=1184.69 (Process=316.062, Measurement=868.624)
Run 88: Total chi2=1209.05 (Process=318.551, Measurement=890.495)
Run 424: Total chi2=1011.03 (Process=251.84, Measurement=759.192)
Run 7: Total chi2=Run 464: Total chi2=982.211 (Process=266.455, Measurement=715.756)
Run 49: Total chi2=1101.1 (Process=298.063, Measurement=803.041)
Run 342: Total chi2=1055.94 (Process=247.988, Measurement=807.954)
Run 131: Total chi2=1075.44 (Process=318.616, Measurement=756.82)
1106.95 (Process=291.598, Measurement=815.352)
Run 216: Total chi2=1150.03 (Process=305.65, Measurement=844.382)
Run 425: Total chi2=1010 (Process=264.941, Measurement=745.064)
Run 383: Total chi2=1080.03 (Process=265.793, Measurement=814.239)
Run 297: Total chi2=1036.95 (Process=262.227, Measurement=774.722)
Run 426: Total chi2=1206.09 (Process=325.709, Measurement=880.384)
Run 343: Total chi2=1057.95 (Process=290.931, Measurement=767.015)
Run 89: Total chi2=1036.3 (Process=306.972, Measurement=729.324)
Run 132: Total chi2=1111 (Process=262.064, Measurement=848.938)
Run 217: Total chi2=1038.26 (Process=264.306, Measurement=773.954)
Run 8: Total chi2=1230.78 (Process=312.939, Measurement=917.843)
Run 174: Total chi2=1010.38 (Process=291.915, Measurement=718.463)
Run 133: Total chi2=1066.89 (Process=292.035, Measurement=774.855)
Run 50: Total chi2=1180.86 (Process=325.805, Measurement=855.054)
Run 255: Total chi2=1137.91 (Process=273.588, Measurement=864.32)
Run 90: Total chi2=1228.12 (Process=323.909, Measurement=904.211)
Run 344: Total chi2=1068.28 (Process=297.619, Measurement=770.661)
Run 465: Total chi2=1120.72 (Process=265.378, Measurement=855.339)
Run 427: Total chi2=1327.06 (Process=343.378, Measurement=983.678)
Run 51: Total chi2=1006.5 (Process=277.735, Measurement=728.766)
Run 384: Total chi2=1105.76 (Process=274.338, Measurement=831.424)
Run 175: Total chi2=1134.87 (Process=295.814, Measurement=839.058)
Run 134: Total chi2=1208.13 (Process=321.959, Measurement=886.168)
Run 91: Total chi2=1247.46 (Process=316.386, Measurement=931.077)
Run 9: Total chi2=1129.42 (Process=282.962, Measurement=846.454)
Run 385: Total chi2=1455.11 (Process=351.393, Measurement=1103.72)
Run 428: Total chi2=1191.45 (Process=326.198, Measurement=865.256)
Run 345: Total chi2=1181.52 (Process=310.419, Measurement=871.103)
Run 218: Total chi2=1009.89 (Process=302.06, Measurement=707.831)
Run 52: Total chi2=1050.47 (Process=290.483, Measurement=759.985)
Run 298: Total chi2=1316.18 (Process=366.163, Measurement=950.016)
Run 176: Total chi2=1055.96 (Process=284.911, Measurement=771.049)
Run 429: Total chi2=1248.19 (Process=308.23, Measurement=939.961)
Run 92: Total chi2=1046.99 (Process=348.738, Measurement=698.251)
Run 466: Total chi2=1167 (Process=299.666, Measurement=867.332)
Run 219: Total chi2=1192.86 (Process=294.607, Measurement=898.25)
Run 135: Total chi2=1016.91 (Process=241.359, Measurement=775.553)
Run 256: Total chi2=1195.88 (Process=321.379, Measurement=874.5)
Run 220: Total chi2=1150.02 (Process=299.201, Measurement=850.82)
Run 346: Total chi2=1119.21 (Process=309.586, Measurement=809.626)
Run 10: Total chi2=1177.39 (Process=288.383, Measurement=889.002)
Run 53: Total chi2=1131.66 (Process=301.728, Measurement=829.932)
Run 386: Total chi2=1186.58 (Process=316.958, Measurement=869.619)
Run 430: Total chi2=1091.4 (Process=265.06, Measurement=826.335)
Run 11: Total chi2=1089.2 (Process=296.868, Measurement=792.329)
Run 467: Total chi2=1203.3 (Process=293.811, Measurement=909.491)
Run 177: Total chi2=1095.67 (Process=294.533, Measurement=801.134)
Run 93: Total chi2=1218.89 (Process=297.411, Measurement=921.477)
Run 221: Total chi2=1164.38 (Process=320.34, Measurement=844.044)
Run 347: Total chi2=1179.75 (Process=307.181, Measurement=872.569)
Run 136: Total chi2=1194.42 (Process=288.5, Measurement=905.923)
Run 299: Total chi2=1070.4 (Process=260.082, Measurement=810.321)
Run 54: Total chi2=1103.36 (Process=306.373, Measurement=796.984)
Run 431: Total chi2=1087.35 (Process=290.307, Measurement=797.047)
Run 178: Total chi2=1039.21 (Process=259.354, Measurement=779.861)
Run 387: Total chi2=1072.6 (Process=278.529, Measurement=794.074)
Run 12: Total chi2=1197.82 (Process=296.715, Measurement=901.1)
Run Run 257137: Total chi2=: Total chi2=1167.391305.96 (Process= (Process=313.453, Measurement=322.121, Measurement=992.512)845.274)

Run 94: Total chi2=963.913 (Process=251.627, Measurement=712.286)
Run 222: Total chi2=1081.67 (Process=290.887, Measurement=790.783)
Run 468: Total chi2=1133.88 (Process=294.241, Measurement=839.634)
Run 348: Total chi2=1018.45 (Process=281.721, Measurement=736.734)
Run 432: Total chi2=1136.98 (Process=279.894, Measurement=857.087)
Run 138: Total chi2=1012.75 (Process=260.459, Measurement=752.29)
Run 179: Total chi2=990.124 (Process=257.087, Measurement=733.037)
Run 258: Total chi2=1387.53 (Process=331.097, Measurement=1056.44)
Run 55: Total chi2=1136.05 (Process=286.287, Measurement=849.761)
Run 95: Total chi2=1030.57 (Process=247.684, Measurement=782.89)
Run 469: Total chi2=1032.49 (Process=285.977, Measurement=746.514)
Run 349: Total chi2=1192.25 (Process=306.801, Measurement=885.452)
Run 180: Total chi2=1070.73 (Process=294.186, Measurement=776.546)
Run 388: Total chi2=1140.96 (Process=316.407, Measurement=824.552)
Run 139: Total chi2=1118.33 (Process=322.755, Measurement=795.574)
Run 223: Total chi2=1264.82 (Process=345.216, Measurement=919.601)
Run 259: Total chi2=1133.09 (Process=308.601, Measurement=824.494)
Run 96: Total chi2=1156.62 (Process=289.081, Measurement=867.537)
Run 300: Total chi2=1137.38 (Process=286.712, Measurement=850.664)
Run 97: Total chi2=1171.59 (Process=287.612, Measurement=883.98)
Run 433: Total chi2=1243.2 (Process=355.001, Measurement=888.204)
Run 350: Total chi2=954.89 (Process=249.811, Measurement=705.079)
Run 260: Total chi2=1091.05 (Process=261.923, Measurement=829.13)
Run 56: Total chi2=1185.69 (Process=294.284, Measurement=891.408)
Run 470: Total chi2=1263.33 (Process=303.322, Measurement=960.009)
Run 57: Total chi2=1020.52 (Process=297.163, Measurement=723.355)
Run 389: Total chi2=1121.55 (Process=288.803, Measurement=832.744)
Run 181: Total chi2=1210.73 (Process=314.583, Measurement=896.142)
Run 13: Total chi2=1263.69 (Process=299.804, Measurement=963.886)
Run 224: Total chi2=1114.24 (Process=295.535, Measurement=818.707)
Run 140: Total chi2=1063.21 (Process=294.732, Measurement=768.476)
Run 301: Total chi2=1127.29 (Process=296.269, Measurement=831.022)
Run 434: Total chi2=1060.92 (Process=281.419, Measurement=779.506)
Run 98: Total chi2=1107.59 (Process=327.014, Measurement=780.573)
Run 390: Total chi2=1191.12 (Process=326.038, Measurement=865.078)
Run 471: Total chi2=1104.27 (Process=263.165, Measurement=841.107)
Run 182: Total chi2=1245.56 (Process=293.618, Measurement=951.939)
Run 261: Total chi2=1231.19 (Process=291.522, Measurement=939.672)
Run 302: Total chi2=994.73 (Process=257.439, Measurement=737.292)
Run 141: Total chi2=1417.41 (Process=322.015, Measurement=1095.39)
Run 225: Total chi2=1044.66 (Process=290.353, Measurement=754.304)
Run 435: Total chi2=1111.78 (Process=301.178, Measurement=810.601)
Run 99: Total chi2=1061.71 (Process=273.899, Measurement=787.815)
Run 472: Total chi2=1281.25 (Process=366.643, Measurement=914.612)
Run 14: Total chi2=1223.88 (Process=294.992, Measurement=928.89)
Run 391: Total chi2=1172.33 (Process=333.221, Measurement=839.109)
Run 183: Total chi2=1161.26 (Process=304.975, Measurement=856.287)
Run 351: Total chi2=1184.51 (Process=331.095, Measurement=853.418)
Run 262: Total chi2=1173.91 (Process=308.541, Measurement=865.373)
Run 100: Total chi2=1141.53 (Process=269.96, Measurement=871.567)
Run 303: Total chi2=1108.63 (Process=299.61, Measurement=809.019)
Run 436: Total chi2=1184.26 (Process=273.564, Measurement=910.694)
Run 392: Total chi2=1119.67 (Process=311.9, Measurement=807.773)
Run 473: Total chi2=1258.45 (Process=342.434, Measurement=916.016)
Run 184: Total chi2=1429.62 (Process=279.307, Measurement=1150.32)
Run 101: Total chi2=1114.54 (Process=280.842, Measurement=833.695)
Run 226: Total chi2=1115.22 (Process=304.005, Measurement=811.219)
Run 352: Total chi2=1146.88 (Process=256.278, Measurement=890.601)
Run 58: Total chi2=1072.11 (Process=302.908, Measurement=769.206)
Run 304: Total chi2=1155.39 (Process=291.053, Measurement=864.339)
Run 142: Total chi2=1105.43 (Process=284.001, Measurement=821.43)
Run 15: Total chi2=1293.53 (Process=330.658, Measurement=962.868)
Run 353: Total chi2=1345.83 (Process=339.842, Measurement=1005.99)
Run 393: Total chi2=1079.98 (Process=268.813, Measurement=811.163)
Run 263: Total chi2=1110.87 (Process=309.37, Measurement=801.502)
Run 474: Total chi2=1100.98 (Process=307.882, Measurement=793.101)
Run 102: Total chi2=1100.74 (Process=282.419, Measurement=818.323)
Run 185: Total chi2=1125.9 (Process=292.621, Measurement=833.274)
Run 305: Total chi2=1144.89 (Process=291.987, Measurement=852.906)
Run 437: Total chi2=1162.8 (Process=319.985, Measurement=842.82)
Run 143: Total chi2=1205.85 (Process=343.313, Measurement=862.541)
Run 354: Total chi2=1147.44 (Process=309.957, Measurement=837.478)
Run 59: Total chi2=1251.58 (Process=323.252, Measurement=928.329)
Run 227: Total chi2=1217.22 (Process=326.944, Measurement=890.278)
Run 103: Total chi2=1181.29 (Process=295.041, Measurement=886.248)
Run 394: Total chi2=1008.36 (Process=257.701, Measurement=750.656)
Run 186: Total chi2=1209.47 (Process=346.789, Measurement=862.681)
Run 475: Total chi2=1223.67 (Process=298.403, Measurement=925.263)
Run 306: Total chi2=912.446 (Process=245.814, Measurement=666.632)
Run 16: Total chi2=1211.99 (Process=322.711, Measurement=889.274)
Run 228: Total chi2=1116.84 (Process=268.879, Measurement=847.958)
Run 355: Total chi2=1058.05 (Process=292.368, Measurement=765.683)
Run 104: Total chi2=1239 (Process=337.292, Measurement=901.708)
Run 144: Total chi2=1311.59 (Process=336.364, Measurement=975.221)
Run 60: Total chi2=1102.62 (Process=261.987, Measurement=840.632)
Run 395: Total chi2=1032.95 (Process=308.716, Measurement=724.238)
Run 187: Total chi2=1129.39 (Process=324.403, Measurement=804.989)
Run 476: Total chi2=1232.25 (Process=301.755, Measurement=930.499)
Run 264: Total chi2=1056.42 (Process=304.505, Measurement=751.912)
Run 17: Total chi2=1149.51 (Process=285.953, Measurement=863.553)
Run 438: Total chi2=1180.12 (Process=322.512, Measurement=857.61)
Run 307: Total chi2=1172.89 (Process=258.474, Measurement=914.413)
Run 61: Total chi2=1247.24 (Process=278.721, Measurement=968.519)
Run 229: Total chi2=1152.09 (Process=292.671, Measurement=859.415)
Run 396: Total chi2=1218.86 (Process=275.116, Measurement=943.741)
Run 105: Total chi2=1073.6 (Process=288.453, Measurement=785.148)
Run 356: Total chi2=1219.23 (Process=304.606, Measurement=914.625)
Run 145: Total chi2=1110.22 (Process=303.64, Measurement=806.583)
Run 477: Total chi2=1264.21 (Process=299.868, Measurement=964.343)
Run 18: Total chi2=1198.49 (Process=317.999, Measurement=880.486)
Run 188: Total chi2=1108.77 (Process=274.884, Measurement=833.887)
Run 308: Total chi2=965.109 (Process=238.824, Measurement=726.284)
Run 62: Total chi2=1163.63 (Process=310.193, Measurement=853.434)
Run 397: Total chi2=1010.69 (Process=268.981, Measurement=741.706)
Run 146: Total chi2=1337.88 (Process=322.901, Measurement=1014.97)
Run 106: Total chi2=940.787 (Process=279.692, Measurement=661.095)
Run 478: Total chi2=1085.16 (Process=278.817, Measurement=806.338)
Run 265: Total chi2=1071.28 (Process=271.545, Measurement=799.736)
Run 357: Total chi2=899.601 (Process=267.088, Measurement=632.513)
Run 230: Total chi2=1111.18 (Process=259.572, Measurement=851.609)
Run 439: Total chi2=1106.93 (Process=278.18, Measurement=828.746)
Run 63: Total chi2=1192.37 (Process=317.368, Measurement=875)
Run 147: Total chi2=1127.07 (Process=332.719, Measurement=794.355)
Run 19: Total chi2=1167.12 (Process=292.827, Measurement=874.294)
Run 398: Total chi2=1092.74 (Process=287.113, Measurement=805.625)
Run 309: Total chi2=1064.64 (Process=278.102, Measurement=786.542)
Run 440: Total chi2=1015.29 (Process=275.642, Measurement=739.648)
Run 479: Total chi2=Run 358: Total chi2=1123.66 (Process=318.596, Measurement=805.064)
Run 107: Total chi2=1090.36 (Process=303.435, Measurement=786.922)
Run 189: Total chi2=1014.09 (Process=270.195, Measurement=743.895)
Run 231: Total chi2=1047.28 (Process=254.449, Measurement=792.836)
Run 148: Total chi2=1171.33 (Process=329.981, Measurement=841.35)
1139.51 (Process=276.782, Measurement=862.732)
Run 266: Total chi2=1039.78 (Process=273.59, Measurement=766.189)
Run 64: Total chi2=1099.88 (Process=295.716, Measurement=804.164)
Run 310: Total chi2=926.309 (Process=270.144, Measurement=656.165)
Run 20: Total chi2=1128.2 (Process=298.146, Measurement=830.054)
Run 399: Total chi2=1194.14 (Process=307.814, Measurement=886.328)
Run 359: Total chi2=1440.97 (Process=337.19, Measurement=1103.78)
Run 190: Total chi2=1056.37 (Process=293.177, Measurement=763.195)
Run 400: Total chi2=1255.27 (Process=285.186, Measurement=970.082)
Run 441: Total chi2=1107.8 (Process=273.944, Measurement=833.857)
Run 267: Total chi2=1177.34 (Process=333.111, Measurement=844.232)
Run 108: Total chi2=1224.48 (Process=337.142, Measurement=887.337)
Run 21: Total chi2=1168.04 (Process=293.816, Measurement=874.223)
Run 311: Total chi2=1084.02 (Process=256.145, Measurement=827.873)
Run 65: Total chi2=1115.19 (Process=261.486, Measurement=853.707)
Run 442: Total chi2=1188.52 (Process=312.692, Measurement=875.826)
Run 232: Total chi2=1131.55 (Process=273.269, Measurement=858.279)
Run 401: Total chi2=1180.21 (Process=355.634, Measurement=824.574)
Run 360: Total chi2=1149.46 (Process=289.64, Measurement=859.823)
Run 268: Total chi2=898.723 (Process=227.577, Measurement=671.146)
Run 66: Total chi2=1024.99 (Process=281.371, Measurement=743.616)
Run 312: Total chi2=982.139 (Process=281.157, Measurement=700.982)
Run 191: Total chi2=1186.41 (Process=270.129, Measurement=916.28)
Run 480: Total chi2=1102.08 (Process=269.501, Measurement=832.58)
Run 22: Total chi2=1319.37 (Process=345.841, Measurement=973.526)
Run 402: Total chi2=1259.22 (Process=338.633, Measurement=920.583)
Run 443: Total chi2=1073.17 (Process=341.153, Measurement=732.014)
Run 109: Total chi2=1003.64 (Process=290.659, Measurement=712.977)
Run 149: Total chi2=1137.33 (Process=302.182, Measurement=835.151)
Run 269: Total chi2=1249.82 (Process=358.484, Measurement=891.334)
Run 67: Total chi2=1005.86 (Process=266.304, Measurement=739.554)
Run 403: Total chi2=1138.75 (Process=301.817, Measurement=836.933)
Run 481: Total chi2=981.9 (Process=307.459, Measurement=674.441)
Run 233: Total chi2=1048.25 (Process=281.791, Measurement=766.463)
Run 192: Total chi2=1148.73 (Process=288.657, Measurement=860.069)
Run 313: Total chi2=1165.2 (Process=306.205, Measurement=858.993)
Run 361: Total chi2=1330.12 (Process=319.687, Measurement=1010.43)
Run 150: Total chi2=1287.07 (Process=298.204, Measurement=988.869)
Run 23: Total chi2=1163.08 (Process=307.42, Measurement=855.664)
Run 270: Total chi2=991.414 (Process=285.839, Measurement=705.575)
Run 444: Total chi2=1275.97 (Process=312.903, Measurement=963.071)
Run 362: Total chi2=1086.29 (Process=255.28, Measurement=831.008)
Run 234: Total chi2=1065.12 (Process=295.825, Measurement=769.296)
Run 404: Total chi2=1177.5 (Process=321.053, Measurement=856.443)
Run 151: Total chi2=1192.64 (Process=317.565, Measurement=875.08)
Run 68: Total chi2=1137.33 (Process=306.97, Measurement=830.355)
Run 482: Total chi2=1231.5 (Process=316.003, Measurement=915.492)
Run 24: Total chi2=1145.01 (Process=286.906, Measurement=858.102)
Run 271: Total chi2=1146.45 (Process=299.717, Measurement=846.737)
Run 193: Total chi2=1152.44 (Process=320.707, Measurement=831.736)
Run 314: Total chi2=1212.94 (Process=306.799, Measurement=906.144)
